/Vin (pulse_width=1.833333e-05) X,/Vin (pulse_width=1.833333e-05) Y,/Vin (pulse_width=1.666667e-05) X,/Vin (pulse_width=1.666667e-05) Y,/Vin (pulse_width=1.5e-05) X,/Vin (pulse_width=1.5e-05) Y,/Vin (pulse_width=1.333333e-05) X,/Vin (pulse_width=1.333333e-05) Y,/Vin (pulse_width=1.166667e-05) X,/Vin (pulse_width=1.166667e-05) Y,/Vin (pulse_width=1e-05) X,/Vin (pulse_width=1e-05) Y
0,0,0,0,0,0,0,0,0,0,0,0
2.01677010783581e-13,3.327670677929086e-07,2.01677010783581e-13,3.327670677929086e-07,2.01677010783581e-13,3.327670677929086e-07,2.01677010783581e-13,3.327670677929086e-07,2.01677010783581e-13,3.327670677929086e-07,2.01677010783581e-13,3.327670677929086e-07
3.65080898921834e-13,6.023834832210261e-07,3.65080898921834e-13,6.023834832210261e-07,3.65080898921834e-13,6.023834832210261e-07,3.65080898921834e-13,6.023834832210261e-07,3.65080898921834e-13,6.023834832210261e-07,3.65080898921834e-13,6.023834832210261e-07
6.9188867519834e-13,1.141616314077261e-06,6.9188867519834e-13,1.141616314077261e-06,6.9188867519834e-13,1.141616314077261e-06,6.9188867519834e-13,1.141616314077261e-06,6.9188867519834e-13,1.141616314077261e-06,6.9188867519834e-13,1.141616314077261e-06
1.173875463417961e-12,1.936894514639635e-06,1.173875463417961e-12,1.936894514639635e-06,1.173875463417961e-12,1.936894514639635e-06,1.173875463417961e-12,1.936894514639635e-06,1.173875463417961e-12,1.936894514639635e-06,1.173875463417961e-12,1.936894514639635e-06
1.729320092925245e-12,2.853378153326654e-06,1.729320092925245e-12,2.853378153326654e-06,1.729320092925245e-12,2.853378153326654e-06,1.729320092925245e-12,2.853378153326654e-06,1.729320092925245e-12,2.853378153326654e-06,1.729320092925245e-12,2.853378153326654e-06
2.384276551610528e-12,3.934056310157371e-06,2.384276551610528e-12,3.934056310157371e-06,2.384276551610528e-12,3.934056310157371e-06,2.384276551610528e-12,3.934056310157371e-06,2.384276551610528e-12,3.934056310157371e-06,2.384276551610528e-12,3.934056310157371e-06
3.213796304359504e-12,5.302763902193181e-06,3.213796304359504e-12,5.302763902193181e-06,3.213796304359504e-12,5.302763902193181e-06,3.213796304359504e-12,5.302763902193181e-06,3.213796304359504e-12,5.302763902193181e-06,3.213796304359504e-12,5.302763902193181e-06
4.301879918096386e-12,7.098101864859037e-06,4.301879918096386e-12,7.098101864859037e-06,4.301879918096386e-12,7.098101864859037e-06,4.301879918096386e-12,7.098101864859037e-06,4.301879918096386e-12,7.098101864859037e-06,4.301879918096386e-12,7.098101864859037e-06
5.753548604041017e-12,9.493355196667679e-06,5.753548604041017e-12,9.493355196667679e-06,5.753548604041017e-12,9.493355196667679e-06,5.753548604041017e-12,9.493355196667679e-06,5.753548604041017e-12,9.493355196667679e-06,5.753548604041017e-12,9.493355196667679e-06
7.731740296400823e-12,1.275737148906136e-05,7.731740296400823e-12,1.275737148906136e-05,7.731740296400823e-12,1.275737148906136e-05,7.731740296400823e-12,1.275737148906136e-05,7.731740296400823e-12,1.275737148906136e-05,7.731740296400823e-12,1.275737148906136e-05
1.047998642064768e-11,1.729197759406868e-05,1.047998642064768e-11,1.729197759406868e-05,1.047998642064768e-11,1.729197759406868e-05,1.047998642064768e-11,1.729197759406868e-05,1.047998642064768e-11,1.729197759406868e-05,1.047998642064768e-11,1.729197759406868e-05
1.42761859349023e-11,2.35557067925888e-05,1.42761859349023e-11,2.35557067925888e-05,1.42761859349023e-11,2.35557067925888e-05,1.42761859349023e-11,2.35557067925888e-05,1.42761859349023e-11,2.35557067925888e-05,1.42761859349023e-11,2.35557067925888e-05
1.922629369473184e-11,3.172338459630753e-05,1.922629369473184e-11,3.172338459630753e-05,1.922629369473184e-11,3.172338459630753e-05,1.922629369473184e-11,3.172338459630753e-05,1.922629369473184e-11,3.172338459630753e-05,1.922629369473184e-11,3.172338459630753e-05
2.508076002812142e-11,4.138325404640035e-05,2.508076002812142e-11,4.138325404640035e-05,2.508076002812142e-11,4.138325404640035e-05,2.508076002812142e-11,4.138325404640035e-05,2.508076002812142e-11,4.138325404640035e-05,2.508076002812142e-11,4.138325404640035e-05
3.152237359920554e-11,5.201191643868914e-05,3.152237359920554e-11,5.201191643868914e-05,3.152237359920554e-11,5.201191643868914e-05,3.152237359920554e-11,5.201191643868914e-05,3.152237359920554e-11,5.201191643868914e-05,3.152237359920554e-11,5.201191643868914e-05
3.854717650183845e-11,6.360284122803345e-05,3.854717650183845e-11,6.360284122803345e-05,3.854717650183845e-11,6.360284122803345e-05,3.854717650183845e-11,6.360284122803345e-05,3.854717650183845e-11,6.360284122803345e-05,3.854717650183845e-11,6.360284122803345e-05
4.66061135959592e-11,7.690008743333267e-05,4.66061135959592e-11,7.690008743333267e-05,4.66061135959592e-11,7.690008743333267e-05,4.66061135959592e-11,7.690008743333267e-05,4.66061135959592e-11,7.690008743333267e-05,4.66061135959592e-11,7.690008743333267e-05
5.722946935086522e-11,9.44286244289276e-05,5.722946935086522e-11,9.44286244289276e-05,5.722946935086522e-11,9.44286244289276e-05,5.722946935086522e-11,9.44286244289276e-05,5.722946935086522e-11,9.44286244289276e-05,5.722946935086522e-11,9.44286244289276e-05
6.828792848958876e-11,0.0001126750820078215,6.828792848958876e-11,0.0001126750820078215,6.828792848958876e-11,0.0001126750820078215,6.828792848958876e-11,0.0001126750820078215,6.828792848958876e-11,0.0001126750820078215,6.828792848958876e-11,0.0001126750820078215
7.941806160741318e-11,0.0001310398016522317,7.941806160741318e-11,0.0001310398016522317,7.941806160741318e-11,0.0001310398016522317,7.941806160741318e-11,0.0001310398016522317,7.941806160741318e-11,0.0001310398016522317,7.941806160741318e-11,0.0001310398016522317
8.972101266419129e-11,0.0001480396708959156,8.972101266419129e-11,0.0001480396708959156,8.972101266419129e-11,0.0001480396708959156,8.972101266419129e-11,0.0001480396708959156,8.972101266419129e-11,0.0001480396708959156,8.972101266419129e-11,0.0001480396708959156
1.003066902114466e-10,0.000165506038848887,1.003066902114466e-10,0.000165506038848887,1.003066902114466e-10,0.000165506038848887,1.003066902114466e-10,0.000165506038848887,1.003066902114466e-10,0.000165506038848887,1.003066902114466e-10,0.000165506038848887
1.121590648137605e-10,0.0001850624569427049,1.121590648137605e-10,0.0001850624569427049,1.121590648137605e-10,0.0001850624569427049,1.121590648137605e-10,0.0001850624569427049,1.121590648137605e-10,0.0001850624569427049,1.121590648137605e-10,0.0001850624569427049
1.258579405272122e-10,0.0002076656018699002,1.258579405272122e-10,0.0002076656018699002,1.258579405272122e-10,0.0002076656018699002,1.258579405272122e-10,0.0002076656018699002,1.258579405272122e-10,0.0002076656018699002,1.258579405272122e-10,0.0002076656018699002
1.421513826432361e-10,0.0002345497813613395,1.421513826432361e-10,0.0002345497813613395,1.421513826432361e-10,0.0002345497813613395,1.421513826432361e-10,0.0002345497813613395,1.421513826432361e-10,0.0002345497813613395,1.421513826432361e-10,0.0002345497813613395
1.627306110220606e-10,0.0002685055081864,1.627306110220606e-10,0.0002685055081864,1.627306110220606e-10,0.0002685055081864,1.627306110220606e-10,0.0002685055081864,1.627306110220606e-10,0.0002685055081864,1.627306110220606e-10,0.0002685055081864
1.911115064643985e-10,0.0003153339856662574,1.911115064643985e-10,0.0003153339856662574,1.911115064643985e-10,0.0003153339856662574,1.911115064643985e-10,0.0003153339856662574,1.911115064643985e-10,0.0003153339856662574,1.911115064643985e-10,0.0003153339856662574
2.266845919361715e-10,0.0003740295766946829,2.266845919361715e-10,0.0003740295766946829,2.266845919361715e-10,0.0003740295766946829,2.266845919361715e-10,0.0003740295766946829,2.266845919361715e-10,0.0003740295766946829,2.266845919361715e-10,0.0003740295766946829
2.580228203304411e-10,0.0004257376535452279,2.580228203304411e-10,0.0004257376535452279,2.580228203304411e-10,0.0004257376535452279,2.580228203304411e-10,0.0004257376535452279,2.580228203304411e-10,0.0004257376535452279,2.580228203304411e-10,0.0004257376535452279
2.866703259998455e-10,0.0004730060378997451,2.866703259998455e-10,0.0004730060378997451,2.866703259998455e-10,0.0004730060378997451,2.866703259998455e-10,0.0004730060378997451,2.866703259998455e-10,0.0004730060378997451,2.866703259998455e-10,0.0004730060378997451
3.161508393486103e-10,0.000521648884925207,3.161508393486103e-10,0.000521648884925207,3.161508393486103e-10,0.000521648884925207,3.161508393486103e-10,0.000521648884925207,3.161508393486103e-10,0.000521648884925207,3.161508393486103e-10,0.000521648884925207
3.470245736112677e-10,0.0005725905464585917,3.470245736112677e-10,0.0005725905464585917,3.470245736112677e-10,0.0005725905464585917,3.470245736112677e-10,0.0005725905464585917,3.470245736112677e-10,0.0005725905464585917,3.470245736112677e-10,0.0005725905464585917
3.805505806783352e-10,0.0006279084581192532,3.805505806783352e-10,0.0006279084581192532,3.805505806783352e-10,0.0006279084581192532,3.805505806783352e-10,0.0006279084581192532,3.805505806783352e-10,0.0006279084581192532,3.805505806783352e-10,0.0006279084581192532
4.18335707054036e-10,0.0006902539166391594,4.18335707054036e-10,0.0006902539166391594,4.18335707054036e-10,0.0006902539166391594,4.18335707054036e-10,0.0006902539166391594,4.18335707054036e-10,0.0006902539166391594,4.18335707054036e-10,0.0006902539166391594
4.621784055610561e-10,0.0007625943691757424,4.621784055610561e-10,0.0007625943691757424,4.621784055610561e-10,0.0007625943691757424,4.621784055610561e-10,0.0007625943691757424,4.621784055610561e-10,0.0007625943691757424,4.621784055610561e-10,0.0007625943691757424
5.146909830779242e-10,0.0008492401220785749,5.146909830779242e-10,0.0008492401220785749,5.146909830779242e-10,0.0008492401220785749,5.146909830779242e-10,0.0008492401220785749,5.146909830779242e-10,0.0008492401220785749,5.146909830779242e-10,0.0008492401220785749
5.801176789762096e-10,0.0009571941703107458,5.801176789762096e-10,0.0009571941703107458,5.801176789762096e-10,0.0009571941703107458,5.801176789762096e-10,0.0009571941703107458,5.801176789762096e-10,0.0009571941703107458,5.801176789762096e-10,0.0009571941703107458
6.666773468815512e-10,0.00110001762235456,6.666773468815512e-10,0.00110001762235456,6.666773468815512e-10,0.00110001762235456,6.666773468815512e-10,0.00110001762235456,6.666773468815512e-10,0.00110001762235456,6.666773468815512e-10,0.00110001762235456
7.731227297335386e-10,0.001275652504060339,7.731227297335386e-10,0.001275652504060339,7.731227297335386e-10,0.001275652504060339,7.731227297335386e-10,0.001275652504060339,7.731227297335386e-10,0.001275652504060339,7.731227297335386e-10,0.001275652504060339
8.911061624866978e-10,0.001470325168103051,8.911061624866978e-10,0.001470325168103051,8.911061624866978e-10,0.001470325168103051,8.911061624866978e-10,0.001470325168103051,8.911061624866978e-10,0.001470325168103051,8.911061624866978e-10,0.001470325168103051
1.029898916863057e-09,0.001699333212824045,1.029898916863057e-09,0.001699333212824045,1.029898916863057e-09,0.001699333212824045,1.029898916863057e-09,0.001699333212824045,1.029898916863057e-09,0.001699333212824045,1.029898916863057e-09,0.001699333212824045
1.2268735381796e-09,0.00202434133799634,1.2268735381796e-09,0.00202434133799634,1.2268735381796e-09,0.00202434133799634,1.2268735381796e-09,0.00202434133799634,1.2268735381796e-09,0.00202434133799634,1.2268735381796e-09,0.00202434133799634
1.43760922407217e-09,0.002372055219719081,1.43760922407217e-09,0.002372055219719081,1.43760922407217e-09,0.002372055219719081,1.43760922407217e-09,0.002372055219719081,1.43760922407217e-09,0.002372055219719081,1.43760922407217e-09,0.002372055219719081
1.588410652219461e-09,0.002620877576162111,1.588410652219461e-09,0.002620877576162111,1.588410652219461e-09,0.002620877576162111,1.588410652219461e-09,0.002620877576162111,1.588410652219461e-09,0.002620877576162111,1.588410652219461e-09,0.002620877576162111
1.744379186492767e-09,0.002878225657713065,1.744379186492767e-09,0.002878225657713065,1.744379186492767e-09,0.002878225657713065,1.744379186492767e-09,0.002878225657713065,1.744379186492767e-09,0.002878225657713065,1.744379186492767e-09,0.002878225657713065
1.948933566814474e-09,0.003215740385243882,1.948933566814474e-09,0.003215740385243882,1.948933566814474e-09,0.003215740385243882,1.948933566814474e-09,0.003215740385243882,1.948933566814474e-09,0.003215740385243882,1.948933566814474e-09,0.003215740385243882
2.148625182724854e-09,0.003545231551496009,2.148625182724854e-09,0.003545231551496009,2.148625182724854e-09,0.003545231551496009,2.148625182724854e-09,0.003545231551496009,2.148625182724854e-09,0.003545231551496009,2.148625182724854e-09,0.003545231551496009
2.305746510241144e-09,0.003804481741897888,2.305746510241144e-09,0.003804481741897888,2.305746510241144e-09,0.003804481741897888,2.305746510241144e-09,0.003804481741897888,2.305746510241144e-09,0.003804481741897888,2.305746510241144e-09,0.003804481741897888
2.460502579684175e-09,0.004059829256478889,2.460502579684175e-09,0.004059829256478889,2.460502579684175e-09,0.004059829256478889,2.460502579684175e-09,0.004059829256478889,2.460502579684175e-09,0.004059829256478889,2.460502579684175e-09,0.004059829256478889
2.623049662733254e-09,0.004328031943509869,2.623049662733254e-09,0.004328031943509869,2.623049662733254e-09,0.004328031943509869,2.623049662733254e-09,0.004328031943509869,2.623049662733254e-09,0.004328031943509869,2.623049662733254e-09,0.004328031943509869
2.801272784183632e-09,0.004622100093902993,2.801272784183632e-09,0.004622100093902993,2.801272784183632e-09,0.004622100093902993,2.801272784183632e-09,0.004622100093902993,2.801272784183632e-09,0.004622100093902993,2.801272784183632e-09,0.004622100093902993
3.005662968434486e-09,0.004959343897916902,3.005662968434486e-09,0.004959343897916902,3.005662968434486e-09,0.004959343897916902,3.005662968434486e-09,0.004959343897916902,3.005662968434486e-09,0.004959343897916902,3.005662968434486e-09,0.004959343897916902
3.245162489025643e-09,0.005354518106892312,3.245162489025643e-09,0.005354518106892312,3.245162489025643e-09,0.005354518106892312,3.245162489025643e-09,0.005354518106892312,3.245162489025643e-09,0.005354518106892312,3.245162489025643e-09,0.005354518106892312
3.53162780644846e-09,0.005827185880639958,3.53162780644846e-09,0.005827185880639958,3.53162780644846e-09,0.005827185880639958,3.53162780644846e-09,0.005827185880639958,3.53162780644846e-09,0.005827185880639958,3.53162780644846e-09,0.005827185880639958
3.883197692876434e-09,0.006407276193246116,3.883197692876434e-09,0.006407276193246116,3.883197692876434e-09,0.006407276193246116,3.883197692876434e-09,0.006407276193246116,3.883197692876434e-09,0.006407276193246116,3.883197692876434e-09,0.006407276193246116
4.330323163162527e-09,0.007145033219218169,4.330323163162527e-09,0.007145033219218169,4.330323163162527e-09,0.007145033219218169,4.330323163162527e-09,0.007145033219218169,4.330323163162527e-09,0.007145033219218169,4.330323163162527e-09,0.007145033219218169
4.929399722924665e-09,0.008133509542825698,4.929399722924665e-09,0.008133509542825698,4.929399722924665e-09,0.008133509542825698,4.929399722924665e-09,0.008133509542825698,4.929399722924665e-09,0.008133509542825698,4.929399722924665e-09,0.008133509542825698
5.798445596328263e-09,0.009567435233941634,5.798445596328263e-09,0.009567435233941634,5.798445596328263e-09,0.009567435233941634,5.798445596328263e-09,0.009567435233941634,5.798445596328263e-09,0.009567435233941634,5.798445596328263e-09,0.009567435233941634
7.242446890530716e-09,0.01195003736937568,7.242446890530716e-09,0.01195003736937568,7.242446890530716e-09,0.01195003736937568,7.242446890530716e-09,0.01195003736937568,7.242446890530716e-09,0.01195003736937568,7.242446890530716e-09,0.01195003736937568
1.013044947893562e-08,0.01671524164024377,1.013044947893562e-08,0.01671524164024377,1.013044947893562e-08,0.01671524164024377,1.013044947893562e-08,0.01671524164024377,1.013044947893562e-08,0.01671524164024377,1.013044947893562e-08,0.01671524164024377
1.590645465574543e-08,0.02624565018197996,1.590645465574543e-08,0.02624565018197996,1.590645465574543e-08,0.02624565018197996,1.590645465574543e-08,0.02624565018197996,1.590645465574543e-08,0.02624565018197996,1.590645465574543e-08,0.02624565018197996
2.654889312483019e-08,0.04380567365596981,2.654889312483019e-08,0.04380567365596981,2.654889312483019e-08,0.04380567365596981,2.654889312483019e-08,0.04380567365596981,2.654889312483019e-08,0.04380567365596981,2.654889312483019e-08,0.04380567365596981
4.783377006299972e-08,0.07892572060394953,4.783377006299972e-08,0.07892572060394953,4.783377006299972e-08,0.07892572060394953,4.783377006299972e-08,0.07892572060394953,4.783377006299972e-08,0.07892572060394953,4.783377006299972e-08,0.07892572060394953
9.040352393933877e-08,0.149165814499909,9.040352393933877e-08,0.149165814499909,9.040352393933877e-08,0.149165814499909,9.040352393933877e-08,0.149165814499909,9.040352393933877e-08,0.149165814499909,9.040352393933877e-08,0.149165814499909
1.755430316920169e-07,0.2896460022918279,1.755430316920169e-07,0.2896460022918279,1.755430316920169e-07,0.2896460022918279,1.755430316920169e-07,0.2896460022918279,1.755430316920169e-07,0.2896460022918279,1.755430316920169e-07,0.2896460022918279
3.45822047197373e-07,0.5706063778756655,3.45822047197373e-07,0.5706063778756655,3.45822047197373e-07,0.5706063778756655,3.45822047197373e-07,0.5706063778756655,3.45822047197373e-07,0.5706063778756655,3.45822047197373e-07,0.5706063778756655
5.208329112497812e-07,0.859374303562139,5.208329112497812e-07,0.859374303562139,5.208329112497812e-07,0.859374303562139,5.208329112497812e-07,0.859374303562139,5.208329112497812e-07,0.859374303562139,5.208329112497812e-07,0.859374303562139
5.330234705197167e-07,0.8794887263575325,5.330234705197167e-07,0.8794887263575325,5.330234705197167e-07,0.8794887263575325,5.330234705197167e-07,0.8794887263575325,5.330234705197167e-07,0.8794887263575325,5.330234705197167e-07,0.8794887263575325
5.556326189967463e-07,0.9167938213446314,5.556326189967463e-07,0.9167938213446314,5.556326189967463e-07,0.9167938213446314,5.556326189967463e-07,0.9167938213446314,5.556326189967463e-07,0.9167938213446314,5.556326189967463e-07,0.9167938213446314
5.671135744077245e-07,0.9357373977727454,5.671135744077245e-07,0.9357373977727454,5.671135744077245e-07,0.9357373977727454,5.671135744077245e-07,0.9357373977727454,5.671135744077245e-07,0.9357373977727454,5.671135744077245e-07,0.9357373977727454
5.775387140126142e-07,0.9529388781208136,5.775387140126142e-07,0.9529388781208136,5.775387140126142e-07,0.9529388781208136,5.775387140126142e-07,0.9529388781208136,5.775387140126142e-07,0.9529388781208136,5.775387140126142e-07,0.9529388781208136
5.983889932223936e-07,0.9873418388169496,5.983889932223936e-07,0.9873418388169496,5.983889932223936e-07,0.9873418388169496,5.983889932223936e-07,0.9873418388169496,5.983889932223936e-07,0.9873418388169496,5.983889932223936e-07,0.9873418388169496
6.389153806946621e-07,1.054210378146193,6.389153806946621e-07,1.054210378146193,6.389153806946621e-07,1.054210378146193,6.389153806946621e-07,1.054210378146193,6.389153806946621e-07,1.054210378146193,6.389153806946621e-07,1.054210378146193
6.801323005971933e-07,1.122218295985369,6.801323005971933e-07,1.122218295985369,6.801323005971933e-07,1.122218295985369,6.801323005971933e-07,1.122218295985369,6.801323005971933e-07,1.122218295985369,6.801323005971933e-07,1.122218295985369
7.240585847386824e-07,1.194696664818826,7.240585847386824e-07,1.194696664818826,7.240585847386824e-07,1.194696664818826,7.240585847386824e-07,1.194696664818826,7.240585847386824e-07,1.194696664818826,7.240585847386824e-07,1.194696664818826
7.724670983214172e-07,1.274570712230338,7.724670983214172e-07,1.274570712230338,7.724670983214172e-07,1.274570712230338,7.724670983214172e-07,1.274570712230338,7.724670983214172e-07,1.274570712230338,7.724670983214172e-07,1.274570712230338
8.255957382678443e-07,1.362232968141943,8.255957382678443e-07,1.362232968141943,8.255957382678443e-07,1.362232968141943,8.255957382678443e-07,1.362232968141943,8.255957382678443e-07,1.362232968141943,8.255957382678443e-07,1.362232968141943
8.850482331584018e-07,1.460329584711363,8.850482331584018e-07,1.460329584711363,8.850482331584018e-07,1.460329584711363,8.850482331584018e-07,1.460329584711363,8.850482331584018e-07,1.460329584711363,8.850482331584018e-07,1.460329584711363
9.521778786855671e-07,1.571093499831186,9.521778786855671e-07,1.571093499831186,9.521778786855671e-07,1.571093499831186,9.521778786855671e-07,1.571093499831186,9.521778786855671e-07,1.571093499831186,9.521778786855671e-07,1.571093499831186
1e-06,1.65,1e-06,1.65,1e-06,1.65,1e-06,1.65,1e-06,1.65,1e-06,1.65
1.048213554552623e-06,1.65,1.048213554552623e-06,1.65,1.048213554552623e-06,1.65,1.048213554552623e-06,1.65,1.048213554552623e-06,1.65,1.048213554552623e-06,1.65
1.14464066365787e-06,1.65,1.14464066365787e-06,1.65,1.14464066365787e-06,1.65,1.14464066365787e-06,1.65,1.14464066365787e-06,1.65,1.14464066365787e-06,1.65
1.213698376568041e-06,1.65,1.213698376568041e-06,1.65,1.213698376568041e-06,1.65,1.213698376568041e-06,1.65,1.213698376568041e-06,1.65,1.213698376568041e-06,1.65
1.285662387491065e-06,1.65,1.285662387491065e-06,1.65,1.285662387491065e-06,1.65,1.285662387491065e-06,1.65,1.285662387491065e-06,1.65,1.285662387491065e-06,1.65
1.363508962300726e-06,1.65,1.363508962300726e-06,1.65,1.363508962300726e-06,1.65,1.363508962300726e-06,1.65,1.363508962300726e-06,1.65,1.363508962300726e-06,1.65
1.452409643152364e-06,1.65,1.452409643152364e-06,1.65,1.452409643152364e-06,1.65,1.452409643152364e-06,1.65,1.452409643152364e-06,1.65,1.452409643152364e-06,1.65
1.554788654880284e-06,1.65,1.554788654880284e-06,1.65,1.554788654880284e-06,1.65,1.554788654880284e-06,1.65,1.554788654880284e-06,1.65,1.554788654880284e-06,1.65
1.645703262246721e-06,1.65,1.645703262246721e-06,1.65,1.645703262246721e-06,1.65,1.645703262246721e-06,1.65,1.645703262246721e-06,1.65,1.645703262246721e-06,1.65
1.827532476979594e-06,1.65,1.827532476979594e-06,1.65,1.827532476979594e-06,1.65,1.827532476979594e-06,1.65,1.827532476979594e-06,1.65,1.827532476979594e-06,1.65
1.963108332821533e-06,1.65,1.963108332821533e-06,1.65,1.963108332821533e-06,1.65,1.963108332821533e-06,1.65,1.963108332821533e-06,1.65,1.963108332821533e-06,1.65
2.096802694734057e-06,1.65,2.096802694734057e-06,1.65,2.096802694734057e-06,1.65,2.096802694734057e-06,1.65,2.096802694734057e-06,1.65,2.096802694734057e-06,1.65
2.260109916876656e-06,1.65,2.260109916876656e-06,1.65,2.260109916876656e-06,1.65,2.260109916876656e-06,1.65,2.260109916876656e-06,1.65,2.260109916876656e-06,1.65
2.445296688344307e-06,1.65,2.445296688344307e-06,1.65,2.445296688344307e-06,1.65,2.445296688344307e-06,1.65,2.445296688344307e-06,1.65,2.445296688344307e-06,1.65
2.655930774151551e-06,1.65,2.655930774151551e-06,1.65,2.655930774151551e-06,1.65,2.655930774151551e-06,1.65,2.655930774151551e-06,1.65,2.655930774151551e-06,1.65
2.902747889766161e-06,1.65,2.902747889766161e-06,1.65,2.902747889766161e-06,1.65,2.902747889766161e-06,1.65,2.902747889766161e-06,1.65,2.902747889766161e-06,1.65
3.193619654071932e-06,1.65,3.193619654071932e-06,1.65,3.193619654071932e-06,1.65,3.193619654071932e-06,1.65,3.193619654071932e-06,1.65,3.193619654071932e-06,1.65
3.5384074642978e-06,1.65,3.5384074642978e-06,1.65,3.5384074642978e-06,1.65,3.5384074642978e-06,1.65,3.5384074642978e-06,1.65,3.5384074642978e-06,1.65
3.951456701482623e-06,1.65,3.951456701482623e-06,1.65,3.951456701482623e-06,1.65,3.951456701482623e-06,1.65,3.951456701482623e-06,1.65,3.951456701482623e-06,1.65
4.451374804029132e-06,1.65,4.451374804029132e-06,1.65,4.451374804029132e-06,1.65,4.451374804029132e-06,1.65,4.451374804029132e-06,1.65,4.451374804029132e-06,1.65
5.062824969675761e-06,1.65,5.062824969675761e-06,1.65,5.062824969675761e-06,1.65,5.062824969675761e-06,1.65,5.062824969675761e-06,1.65,5.062824969675761e-06,1.65
5.819532410620947e-06,1.65,5.819532410620947e-06,1.65,5.819532410620947e-06,1.65,5.819532410620947e-06,1.65,5.819532410620947e-06,1.65,5.819532410620947e-06,1.65
6.768079507031991e-06,1.65,6.768079507031991e-06,1.65,6.768079507031991e-06,1.65,6.768079507031991e-06,1.65,6.768079507031991e-06,1.65,6.768079507031991e-06,1.65
7.768079507031991e-06,1.65,7.768079507031991e-06,1.65,7.768079507031991e-06,1.65,7.768079507031991e-06,1.65,7.768079507031991e-06,1.65,7.768079507031991e-06,1.65
8.768079507031992e-06,1.65,8.768079507031992e-06,1.65,8.768079507031992e-06,1.65,8.768079507031992e-06,1.65,8.768079507031992e-06,1.65,8.768079507031992e-06,1.65
9.768079507031992e-06,1.65,9.768079507031992e-06,1.65,9.768079507031992e-06,1.65,9.768079507031992e-06,1.65,9.768079507031992e-06,1.65,9.768079507031992e-06,1.65
1.076807950703199e-05,1.65,1.076807950703199e-05,1.65,1.076807950703199e-05,1.65,1.076807950703199e-05,1.65,1.076807950703199e-05,1.65,1.0384039753516e-05,1.65
1.176807950703199e-05,1.65,1.176807950703199e-05,1.65,1.176807950703199e-05,1.65,1.176807950703199e-05,1.65,1.176807950703199e-05,1.65,1.1e-05,1.65
